#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
7.0194180000e+01	8.9511485243e-01	5.3950211534e-06                 	5.2667026045e-06                 	1.2831854889e-07                 	9.7621537613e-01                 	-2.1780098264e-01                
7.2490200000e+01	8.6676341177e-01	5.0054879163e-06                 	4.8803220901e-06                 	1.2516582622e-07                 	9.7499428062e-01                 	-2.2728909549e-01                
7.4861320000e+01	8.3930998107e-01	4.6104904566e-06                 	4.4888033010e-06                 	1.2168715567e-07                 	9.7360646187e-01                 	-2.3625263110e-01                
7.7309990000e+01	8.1272618289e-01	4.2186292670e-06                 	4.1006506803e-06                 	1.1797858671e-07                 	9.7203390503e-01                 	-2.4473390456e-01                
7.9838770000e+01	7.8698423174e-01	3.8372181762e-06                 	3.7230855270e-06                 	1.1413264924e-07                 	9.7025640868e-01                 	-2.5276876531e-01                
8.2450250000e+01	7.6205776298e-01	3.4720718665e-06                 	3.3618388802e-06                 	1.1023298639e-07                 	9.6825152513e-01                 	-2.6038755462e-01                
8.5147160000e+01	7.3792071364e-01	3.1274460413e-06                 	3.0210948949e-06                 	1.0635114635e-07                 	9.6599425060e-01                 	-2.6761645972e-01                
8.7932280000e+01	7.1454820769e-01	2.8061450967e-06                 	2.7035999367e-06                 	1.0254515994e-07                 	9.6345692884e-01                 	-2.7447809395e-01                
9.0808510000e+01	6.9191591264e-01	2.5096964520e-06                 	2.4108372330e-06                 	9.8859218946e-08                 	9.6060909324e-01                 	-2.8099238605e-01                
9.3778810000e+01	6.7000053713e-01	2.2385845273e-06                 	2.1432597412e-06                 	9.5324786148e-08                 	9.5741738363e-01                 	-2.8717699808e-01                
9.6846270000e+01	6.4877927742e-01	1.9924789419e-06                 	1.9005166391e-06                 	9.1962302784e-08                 	9.5384528245e-01                 	-2.9304791523e-01                
1.0001410000e+02	6.2822995029e-01	1.7704563173e-06                 	1.6816731552e-06                 	8.8783162152e-08                 	9.4985294961e-01                 	-2.9861977441e-01                
1.0328550000e+02	6.0833178977e-01	1.5711983210e-06                 	1.4854069251e-06                 	8.5791395859e-08                 	9.4539747484e-01                 	-3.0390592175e-01                
1.0666390000e+02	5.8906390139e-01	1.3931312105e-06                 	1.3101458364e-06                 	8.2985374151e-08                 	9.4043247791e-01                 	-3.0891904694e-01                
1.1015280000e+02	5.7040631806e-01	1.2345592972e-06                 	1.1541996391e-06                 	8.0359658121e-08                 	9.3490822328e-01                 	-3.1367103965e-01                
1.1375590000e+02	5.5233929029e-01	1.0937490531e-06                 	1.0158431634e-06                 	7.7905889669e-08                 	9.2877169635e-01                 	-3.1817331562e-01                
